key,label,trips,avg_dist,avg_fare,revenue,year,month
2022-01,Jan 2022,2350229,3.09,12.47,43962292.0,2022,01
2022-02,Feb 2022,2825068,3.07,12.83,54275054.0,2022,02
2022-03,Mar 2022,3440262,3.32,13.55,69588520.0,2022,03
2022-04,Apr 2022,3409276,3.44,13.99,70739427.0,2022,04
2022-05,May 2022,3378169,3.6,14.65,72810155.0,2022,05
2022-06,Jun 2022,3340125,3.55,14.51,71442100.0,2022,06
2022-07,Jul 2022,2993833,3.6,14.27,62890619.0,2022,07
2022-08,Aug 2022,2987533,3.64,14.4,63222743.0,2022,08
2022-09,Sep 2022,2996983,3.68,15.15,66402103.0,2022,09
2022-10,Oct 2022,3451142,3.59,14.83,75263057.0,2022,10
2022-11,Nov 2022,3065328,3.53,14.67,66272674.0,2022,11
2022-12,Dec 2022,3196226,3.54,16.58,77308250.0,2022,12
2023-01,Jan 2023,2940233,3.37,18.22,79391871.0,2023,01
2023-02,Feb 2023,2785520,3.29,18.13,75042760.0,2023,02
2023-03,Mar 2023,3249575,3.4,18.79,90416233.0,2023,03
2023-04,Apr 2023,3130477,3.5,19.25,88589773.0,2023,04
2023-05,May 2023,3337656,3.52,19.75,96711131.0,2023,05
2023-06,Jun 2023,3137398,3.54,19.71,90730792.0,2023,06
2023-07,Jul 2023,2762096,3.59,19.61,79052096.0,2023,07
2023-08,Aug 2023,2678139,3.63,19.67,77029876.0,2023,08
2023-09,Sep 2023,2658523,3.54,20.42,79076657.0,2023,09
2023-10,Oct 2023,3297253,3.47,20.0,96769702.0,2023,10
2023-11,Nov 2023,3143776,3.36,19.61,90855838.0,2023,11
2023-12,Dec 2023,3128141,3.3,19.56,89916643.0,2023,12
2024-01,Jan 2024,2770752,3.24,18.11,74908026.0,2024,01
2024-02,Feb 2024,2764288,3.17,18.07,74768200.0,2024,02
2024-03,Mar 2024,3084939,3.33,18.83,86293108.0,2024,03
2024-04,Apr 2024,3035789,3.36,19.13,86055004.0,2024,04
2024-05,May 2024,3245287,3.4,19.67,93995423.0,2024,05
2024-06,Jun 2024,3053501,3.4,19.49,87603322.0,2024,06
2024-07,Jul 2024,2727341,3.57,19.87,79052735.0,2024,07
2024-08,Aug 2024,2648088,3.65,20.09,77320418.0,2024,08
2024-09,Sep 2024,3071462,3.52,20.44,91520080.0,2024,09
2024-10,Oct 2024,3351149,3.44,20.11,98842468.0,2024,10
2024-11,Nov 2024,3191527,3.28,19.36,90880317.0,2024,11
2024-12,Dec 2024,3246489,3.27,19.9,94509917.0,2024,12
2025-01,Jan 2025,2857348,3.13,17.65,77284099.0,2025,01
2025-02,Feb 2025,2696776,3.06,17.53,72825329.0,2025,02
2025-03,Mar 2025,3122566,3.27,18.47,87956776.0,2025,03
2025-04,Apr 2025,3101952,3.25,18.76,88416630.0,2025,04
2025-05,May 2025,3239259,3.42,19.88,96479314.0,2025,05
2025-06,Jun 2025,2952640,3.46,19.76,87473762.0,2025,06
2025-07,Jul 2025,2713540,3.48,19.72,79764286.0,2025,07
2025-08,Aug 2025,2549405,3.67,20.18,75975567.0,2025,08
2025-09,Sep 2025,3029235,3.48,20.39,91379257.0,2025,09
2025-10,Oct 2025,3280262,3.45,20.29,98683625.0,2025,10
2025-11,Nov 2025,3038980,3.38,19.95,89575571.0,2025,11
2025-12,Dec 2025,13,2.34,16.41,294.0,2025,12
